id	labels
1444377155077562373	8
1444453072017756166	9
1444522265413136385	8
1444029371782729740	9
1444714180012040196	22
1444090587683168261	7,8
1444367147497672707	8
1444710296082341896	3
1444153590315167747	8
1444728558065160197	15
1444720718906892289	25
1444460772730474500	27
1444370163202240517	27
1444450286974738432	1
1444723394910490624	1
1444423015597592583	26
1444524631021527041	8
1444043422734692358	27
1444361854290116609	6
1444061739230933000	18
1444054130771832834	27
1444419966376230917	21
1444097034328449024	8
1444090348586799108	8
1444349523040608258	25
1444106672805404672	21
1444318652946333701	14
1444316937455083521	4
1444458277111279618	21
1444358687578066946	8
1444712305158201348	2
1444413846857338882	22
1444720467273736197	3,8
1444422495516430341	27
1444043607283994631	15
1444117229893832706	7
1444702654060433412	21
1444091527182094337	6
1444720437905301511	8
1444441101453209602	22
1444703341909524482	17
1444060787119738882	27
1444710711326826506	2
1444089727850893314	2
1444095369168687109	8
1444062146086703108	27
1444710661003567110	15
1444704126273785861	5,18
1444090231146352641	8
1444706651232219136	22,26
1444722904155963397	21
1444413448406831104	8
1444061470791290882	15
1444106479867514882	21
1444731456333520900	14
1444724749637197833	16
1444714016417452036	25
1444423493752393729	0
1444421539236098049	9
1444701467055624192	8
1444437116868513793	6
1444375338969149447	8,25
1444438337406840841	13
1444076872309039105	8
1444728646166528005	22
1444326089443192841	27
1444459698980335618	3
1444451226486247426	18
1444324638218244104	25
1444358905694466055	1
1444375829711097857	8
1444437167208603650	25
1444729950569914368	6
1444728931387588612	1,22
1444343223170777095	17
1444451868231491585	18
1444091464259096580	2,10
1444042135049838596	22
1444316891334512645	0
1444449532000051200	27
1444422457755062282	8
1444083708986789891	27
1444152998893170689	8
1444044077033472001	5
1444420616480870411	15
1444104202373025792	27
1444726297331130368	1,21,22
1444422562625241095	25
1444028952360665092	2
1444419744078209034	7
1444125593344303108	7
1444369911539806216	15
1444343747467255809	22
1444075773372125189	3
1444526229051396099	8
1444450144372641792	4
1444351053944737794	27
1444423904794226688	6
1444116831426461697	7
1444415461660168192	27
1444105922037571584	1
1444461242501017601	8
1444117590591291394	8
1444723357136601102	22
1444462303647309827	7
1444377180260208643	10
1444125903718584321	21
1444350315734634499	5
1444458914658017283	0,22
1444088813467406337	22
1444423191775096832	25
1444126486718517250	21
1444422189357355015	27
1444451872438464513	2
1444709918595076100	5,17
1444081221789749250	22
1444706508630073344	27
1444415755257360396	3
1444701307701501958	7
1444319688947900422	22
1444096799417982980	6
1444365356525621251	12
1444458172282982402	10
1444733570266828811	10
1444366602233913344	22
1444441244067897345	2
1444701374781001735	13
1444325296740646914	22
1444452958733803522	22
1444728277046865925	21
1444439587322007558	7
1444043192014413828	8
1444701303473573888	7
1444062259316248577	17
1444325342873890816	22
1444044517439594498	25
1444074284394110976	27
1444326571804925954	25
1444343630043430921	17
1444437196564484096	27
1444450630928588803	18
1444419844703674370	8
1444052834752897029	18
1444436605155123201	22
1444731213063888901	27
1444711696984158211	22
1444726393816944641	9
1444375552861802499	6
1444326492100603910	12
1444125954041950208	4
1444527734823211017	1
1444450089842487296	10
1444460021966942215	27
1444524945606860802	27
1444365830486175751	27
1444028528727629832	27
1444118051981570053	10
1444152860506312713	6
1444726075045646338	3
1444457467648348160	12
1444062771042205703	3
1444342828897902598	27
1444062955591634948	17
1444088696052109313	24
1444459644487970821	10
1444461531912093696	7
1444449133536980999	15,23
1444075962119897096	22,3
1444705724303613957	18
1444097407621414915	25
1444729191413518336	21
1444437746022486018	9
1444436110214582274	27
1444702377232195586	3,9
1444342451431428096	25
1444349992764837890	27
1444125761087102979	25
1444722694440857615	27
1444096715561308163	18
1444726746138427394	1
1444153464456716289	22
1444413893011456001	5
1444436248634986501	10
1444370792318488578	27
1444530444326866946	27
1444061588244283403	0
1444152650778415107	3
1444457639593844739	6
1444378291733995536	12
1444074544470315011	27
1444053673613660162	14
1444449976617246722	9
1444152340395827200	6,8
1444365134227517440	6
1444712187717640193	5
1444451079723356163	21
1444326013954138122	2
1444318187391262723	7
1444081658001608708	22
1444733662562504704	27
1444318141249728515	21
1444440128362098694	27
1444439176255057930	9
1444095939598237700	21
1444318929774694400	13,23
1444088737965744130	7
1444420750673420303	10
1444733188610445315	26
1444440094841184259	23
1444419198789341187	9,10
1444342518540288011	22
1444028021233623048	22
1444062217385689094	15,23
1444451075520671745	25
1444423531526242310	27
1444415432321118215	5
1444458944039170048	6,19
1444439021099393027	21
1444358804997615616	8
1444421711202488320	9
1444096187045404673	3
1444083126003802112	8
1444523393710268422	8
1444062037034905602	27
1444028654573522946	6
1444360222693339137	9
1444521887942463488	22
1444052805388537860	10
1444419484010401794	11
1444418502547451910	10
1444458428106166274	19
1444724091156578310	14
1444043053614895109	23
1444461175396347907	27
1444106257569353731	3,8
1444456993683554307	8
1444461322192756739	14
1444042831300022274	5
1444460428806037506	14,19
1444106601498034178	6
1444711508236193796	0,17
1444721138366652419	27
1444413163215200266	10
1444721289348931591	14,19
1444344120743448577	14,19
1444116122601676800	8
1444704763778568198	10,11
1444060443216056321	21
1444076729681825793	27
1444702884726181889	18
1444724053382766600	10
1444368695174828033	27
1444043204601462784	7,10
1444421488879284232	0,1
1444418393512288259	2
1444461636769693698	8,17
1444523691501662208	11
1444075014232453121	8
1444076578703650818	25
1444451700450922501	6
1444370460976852994	25
1444458834953658371	3
1444324487210709000	0
1444150809462198272	27
1444318288041975813	3
1444710178620944386	8
1444089975302238210	6
1444462270088626177	7
1444318090897018880	8
1444042139260829702	6
1444089090308198407	27
1444054734764224519	27
1444725315901825028	1
1444062250952704001	18
1444316773906518017	0,18
1444441491523440645	27
1444523238525214723	22
1444117963892723713	27
1444343311263834117	17
1444713869637791747	12
1444438811354804227	22
1444725550782861312	7
1444418691303677956	9
1444729938003832833	27
1444731858978316296	27
1444366400903163904	27
1444714259695407112	13
1444029908670423052	20
1444075496564736005	22
1444125723359330306	0
1444421308536827904	19
1444090772198932481	27
1444529131497168899	27
1444042487396503557	5
1444095453042253824	25
1444126826461335554	23
1444729870907490304	9,25
1444451738199728130	17,22
1444089962710945794	4
1444351959927083013	0
1444061370153066499	13
1444117871613947905	3
1444324814378971138	7,10
1444728285456486409	14
1444436319967535111	27
1444526799459962883	27
1444126738364215298	27
1444351464990781443	27
1444452228958457857	27
1444054822827745281	27
1444449083234701313	27
1444459342485508101	27
1444457895450583040	24
1444370452605022211	8
1444370356131799048	27
1444091560723984388	18
1444710870689386502	8
1444342979909541891	27
1444316748711350272	19
1444450450556833793	27
1444029891880620033	1
1444324386568347650	27
1444729027860865024	8
1444075161012129793	3,6,9
1444460110047232004	27
1444436244470059022	7
1444125589112250371	19
1444091523004514304	27
1444027958310674438	7
1444422822693113864	21
1444318145443942402	27
1444343877507375105	20
1444361900410687488	27
1444436827461586946	8
1444118202955571201	13,21
1444358700169252864	0
1444325938460774402	21
1444377763276890113	27
1444371169826807810	8,18
1444459564775137280	27
1444375297026138113	14
1444459447338819585	10
1444151044380971009	5
1444062531966967809	26
1444525385983660037	26,14
1444150423611400198	3
1444457098537054214	8
1444705237768540165	27
1444732169390338050	18
1444127036147224576	14,19
1444042407704662019	0,15
1444460961478414336	27
1444423678322790403	2,24
1444459267000610817	6,10
1444096778454896640	13
1444360038127185920	27
1444153451873804288	19
1444704226920239107	8
1444116097410781184	27
1444730185488678917	3
1444713794140319756	4,22
1444350336706228226	27
1444366778373656581	17,22
1444369227842981898	3
1444349799839543302	27
1444349564975210505	27
1444453185238847489	25
1444720488241057799	10
1444324684334567432	22
1444449238407159812	8
1444028163818930182	7
1444042059573350400	8
1444082974983606276	27
1444449729119756288	8
1444723759810760711	1,10
1444090856106045441	4
1444704717658075137	6
1444458155501621253	27
1444703597787291648	15
1444450949674721282	1,22,26
1444452568676061184	27
1444152705300279297	11
1444703564207726607	27
1444105884288921604	6
1444105573901930496	14,19
1444096493259038728	3
1444438710695743490	10
1444452124104998915	3,9
1444450542839869441	23
1444042499983544328	1,7
1444352459019886592	22
1444730789464260617	22
1444104315615031296	9
1444378585347809287	1
1444341990037012492	27
1444522160563933186	3
1444452195378860033	27
1444054231430930433	27
1444061412104491011	25
1444712007366754313	27
1444089312597970948	27
1444733750613577739	25
1444438874273591298	13
1444367218771365888	25
1444706764482547712	2
1444054285952638977	10,11
1444376148461424640	22
1444724690929569805	2
1444106257581944832	13
1444076146690297859	16,25
1444450890954514441	3
1444522299001090049	1
1444723726243803138	22
1444352383530774533	11
1444711902517645312	6,26
1444421006534250502	8,25
1444104990897889284	9
1444461456406335492	27
1444440308738109441	21
1444730697168605185	5
1444117234058682369	21
1444054344685457408	27
1444041937942679568	22
1444419769210388482	5,18
1444344934438522884	20
1444028910413533189	22
1444440543602384915	19
1444125463316680707	7
1444704239503216644	3
1444091476854595588	22
1444421337913643015	8,19
1444422134793752587	27
1444106538617122821	27
1444054730540556292	27
1444104214976868354	1
1444436605142503424	15
1444126646114693120	7,25
1444324302669627396	0,7
1444450073090351105	27
1444325217036349451	27
1444529462842953732	9
1444731380865376268	27
1444326118807461893	25
1444028486788730882	1
1444378396595785735	22
1444528204585259012	8
1444116772689518598	27
1444521380431683586	8
1444452279260786690	3,11
1444725819201531904	22
1444105401943871488	21
1444151845459464204	27
1444525633460129795	25
1444460449773273094	18
1444104420480929793	3
1444352010229268483	2
1444731645072924673	19
1444118219728560132	27
1444090625431855107	0
1444324634036514821	27
1444451645941821442	10
1444118198778048514	23
1444460839831064581	22
1444705464227356675	9
1444705883678724101	0
1444367608866820099	24
1444725869537374212	21
1444150901736890371	6,25
1444449330686009350	17
1444104907011891204	8
1444436408047972358	7
1444053048649830412	27
